site,year,month_year,date,patch,plot,subplot,PIUV_less5cmDBH_total,PIUV_less130cm_total,PIUV_5to130_total,PIUV_less5cm,PIUV_greatequal5cm,PIUV_5to30cm,PIUV_31to130cm,PIUV_great130cm,soil_to40cm,soil2,nst_height_m,nst_dist_m,nst_dir,stpres_5m,stmh_5m,cnt_stmh_5m,stpres_10m,stmh_10m,cnt_stmh_10m,stpres_20m,stmh_20m,cnt_stmh_20m,light_cond,par_time,par0.3,par1.3,dwt1,dwt2,dwt3,dwt_eqgreat0,pool_pres,pool,bare_ground,litter,wood,trunk,Dicran,Sphagnum,om,cush_spp,sub_dom,NMDS_axis1,NMDS_axis2,NMDS_axis3,OS_less30cm,OS_31to130,OS_great130cm,OS_total,Plot_PIUVcnt,logpar0.3_resid,logpar1.3_resid,logparratio_resid,subNMDS_a1,subNMDS_a2,subNMDS_a3,us_emshr,us_shrubs,us_trees
RMB,2017,17-Jan,1/17/2017,Forest,F01,F0101,62,62,12,50,12,10,2,0,Muck,Muck,NA,NA,NA,1,NA,3 to 5,1,NA,1 to 2,1,NA,1 to 2,OC,15:19:00,50,64,20,25,29,0,1,1,1,5,0,1,10,0,85,0,Other moss,0.9062,0.1049,-1.0155,10,1,0,11,15,0.505374157,0.23756563,-0.319872534,-0.7391,-0.16897,0.35118,13.0,2.0,2
RMB,2017,17-Jan,1/17/2017,Forest,F01,F0102,3,3,1,2,1,1,0,0,Muck,Muck,NA,NA,NA,1,NA,1 to 2,1,NA,3 to 5,1,NA,1 to 2,OC,16:20:00,2,1,45,21,41,0,1,5,5,1,1,75,1,1,90,0,Other moss-trunk,0.6159,-0.5131,-1.0703,21,1,2,24,15,-0.817473163,-1.492087983,-0.728112499,-0.8099,0.22035,-0.16897,7.5,1.0,1.5
RMB,2017,17-Jan,1/17/2017,Forest,F01,F0103,16,16,1,15,1,1,0,0,Muck,Muck,NA,NA,NA,1,NA,3 to 5,1,NA,3 to 5,1,NA,1 to 2,OC,16:57:00,3,87,43,120,20,0,0,0,5,10,0,80,1,0,95,0,Other moss-trunk,0.9556,0.1644,0.0297,18,0,1,19,15,-0.527061562,0.565039989,1.035315494,-0.8254,0.28504,-0.07835,42.0,32.0,20.5
RMB,2017,17-Jan,1/18/2017,Forest,F01,F0104,7,7,5,2,5,5,0,0,Peat,Peat,NA,NA,NA,1,NA,3 to 5,1,NA,3 to 5,1,NA,3 to 5,OC,11:22:00,6,8,91,108,2,0,1,20,0,5,1,75,0,20,80,0,Other moss-trunk,0.2059,-0.9268,0.1261,13,1,2,16,15,-0.26290728,-0.503054894,-0.302417596,-0.4299,0.19415,-0.17205,36.5,15.5,0.5
RMB,2017,17-Jan,1/22/2017,Forest,F02,F0201,70,68,36,32,38,33,3,2,Peat,Peat,NA,NA,NA,1,6 to 10,3 to 5,1,11 to 15,1 to 2,1,16 to 20,3 to 5,Sun,12:04:00,337,484,82,97,-7,1,1,5,0,10,1,80,0,10,90,0,Other moss-trunk,0.5495,-0.5529,0.0852,0,1,0,1,15,0.689727952,0.326220964,-0.280137011,-0.6422,0.30456,-0.0424,51.5,25.5,10.5
RMB,2017,17-Jan,1/22/2017,Forest,F02,F0202,47,47,23,24,23,23,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,3 to 5,1,16 to 20,3 to 5,1,16 to 20,3 to 5,Sun,12:50:00,8,438,8,21,31,0,1,20,5,10,1,75,0,10,95,0,Other moss-trunk,0.4723,-0.4437,0.0803,0,0,0,0,15,-0.995875913,0.217598908,1.301031652,-0.5724,0.18134,-0.14543,41.0,15.5,15
RMB,2017,17-Jan,1/22/2017,Forest,F02,F0203,39,38,18,20,19,11,7,1,Muck,Muck,NA,NA,NA,1,3 to 5,1 to 2,1,11 to 15,3 to 5,1,16 to 20,3 to 5,Sun,14:27:00,610,341,27,20,24,0,0,0,0,15,1,25,1,1,100,0,Other moss,0.8423,-1.0296,-0.223,2,6,3,11,15,0.870671032,0.090750481,-0.689927928,-0.7702,0.11728,0.21686,37.0,25.0,5.5
RMB,2017,17-Jan,1/22/2017,Forest,F02,F0204,44,44,3,41,3,2,1,0,Muck,Muck,NA,NA,NA,1,11 to 15,3 to 5,1,16 to 20,3 to 5,1,16 to 20,3 to 5,Sun,14:50:00,60,350,18,30,122,0,0,0,0,15,5,50,1,0,100,0,Other moss-trunk,1.1325,-0.6101,0.0394,1,1,1,3,15,-0.10575996,0.132293002,0.328564322,-0.829,0.17793,0.06725,42.0,30.5,5.5
RMB,2017,17-Jan,1/25/2017,Forest,F03,F0301,16,8,6,2,14,2,4,8,Muck,Muck,NA,NA,NA,1,6 to 10,1 to 2,1,3 to 5,3 to 5,1,16 to 20,1 to 2,OC,12:25:00,46,72,39,21,39,0,0,0,0,15,0,20,5,0,95,0,Other moss,1.0124,-0.6846,-0.4958,6,2,0,8,14,0.019938202,-0.161428347,-0.23582822,-0.7729,0.07884,0.2506,28.0,21.5,6
RMB,2017,17-Jan,1/25/2017,Forest,F03,F0302,13,13,0,13,0,0,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,1 to 2,1,6 to 10,1 to 2,1,16 to 20,1 to 2,OC,13:53:00,195,252,38,58,59,0,0,0,0,5,1,45,10,1,90,0,Other moss-trunk,0.9314,-0.1086,-0.4107,0,0,4,4,14,0.570458128,0.299260197,-0.319036955,-0.8568,0.07406,0.01978,26.0,15.5,6.5
RMB,2017,17-Jan,1/25/2017,Forest,F03,F0303,13,13,0,13,0,0,0,0,Muck,Muck,NA,NA,NA,1,6 to 10,1 to 2,1,16 to 20,1 to 2,1,16 to 20,1 to 2,OC,14:51:00,102,291,45,102,63,0,1,1,1,10,0,60,5,0,95,0,Other moss-trunk,1.0957,-0.3314,-0.1205,6,1,4,11,14,0.31977128,0.391981501,0.024889932,-0.8145,0.18526,-0.01932,67.5,46.0,7
RMB,2017,17-Jan,1/25/2017,Forest,F03,F0304,3,3,0,3,0,0,0,0,Muck,Muck,NA,NA,NA,1,3 to 5,3 to 5,1,16 to 20,1 to 2,1,16 to 20,1 to 2,OC,15:35:00,19,115,50,70,60,0,1,1,1,15,1,80,5,0,95,0,Other moss-trunk,1.3012,-0.4989,0.436,2,0,0,2,14,-0.334982602,0.065312713,0.351541355,-0.8097,0.29586,-0.017,128.0,97.0,1.5
